sensor_id,year,count,total_size_TB
TM,1992,54524,6
ETM,2005,58915,10
TM,2004,81034,10
TM,2000,45912,5
TM,1999,76792,9
ETM,2004,64310,11
MSS,1975,53896,1
TM,1985,25949,3
MSS,1981,54509,1
MSS,1994,30096,0
MSS,1979,52736,1
MSS,2013,283,0
MSS,1997,440,0
MSS,1998,399,0
MSI,2017,158197,78
MSS,1987,65282,1
ETM,2000,81220,17
MSS,1984,94627,2
MSS,1985,93430,2
TM,1998,97231,12
TM,2010,125995,17
ETM,2014,269519,54
ETM,1999,42216,9
MSS,1972,20430,0
ETM,2012,202755,42
ETM,2009,37773,7
ETM,2007,43704,8
ETM,2017,14150,2
TM,1996,82067,10
TM,1995,80309,9
ETM,2008,47512,8
TM,2011,109018,15
MSS,1983,56307,1
MSS,1977,46628,1
TM,1982,815,0
TIRS,2013,773,0
TIRS,2014,737,0
TIRS,2015,293,0
TM,2001,54421,6
ETM,2011,180459,37
TM,1991,68646,8
TM,2007,55220,7
TM,2005,79465,10
TM,2002,36179,4
TM,1988,73273,8
TM,1990,71461,8
MSS,1978,48627,1
MSS,1976,54970,1
MSS,1995,24947,0
MSS,1974,38559,0
ETM,2010,104666,21
TM,1997,79493,10
MSS,1973,46136,1
MSS,1996,505,0
MSS,1991,39027,0
TM,1983,807,0
TIRS,2017,9,0
MSI,2016,1251777,108
MSI,2015,222602,27
TM,2006,75129,9
MSS,1993,31305,0
TM,1994,84405,10
TM,1989,72009,8
MSS,1989,40104,0
TM,2009,147693,19
ETM,2003,52112,10
TM,2003,50633,6
MSS,1980,51715,1
TM,1993,70528,8
TM,1987,44339,5
ETM,2001,68611,14
MSS,1986,84571,1
MSS,1982,46927,0
TM,2008,98412,13
TM,1986,17557,2
TM,1984,10182,1
ETM,2015,271954,55
ETM,2013,237142,48
ETM,2016,270785,55
ETM,2002,81902,17
MSS,1990,36189,0
MSS,1988,44219,1
ETM,2006,54351,10
MSS,1992,37505,0
MSS,2012,15295,0
TM,2012,43,0
TIRS,2016,45,0
ASTER, 1999, 0, 0
C-SAR, 2012, 0, 0
C-SAR, 2013, 0, 0
ASTER, 2000, 101978, 0
ASTER, 2017, 24614, 0
C-SAR, 2014, 24978, 0
ASTER, 2001, 180603, 0
C-SAR, 2017, 44213, 0
ASTER, 2008, 153563, 0
ASTER, 2010, 152796, 0
ASTER, 2006, 179824, 0
ASTER, 2011, 191730, 0
ASTER, 2002, 171330, 0
ASTER, 2005, 179361, 0
ASTER, 2003, 166460, 0
ASTER, 2009, 161061, 0
ASTER, 2007, 162859, 0
ASTER, 2004, 168285, 0
ASTER, 2013, 180543, 0
ASTER, 2014, 182450, 0
C-SAR, 2015, 133104, 0
ASTER, 2012, 193621, 0
ASTER, 2016, 194044, 0
ASTER, 2015, 201056, 0
C-SAR, 2016, 192493, 0
OLI,2013,138503,132
OLI,2014,238759,227
OLI,2015,252970,240
OLI,2016,256563,243
OLI,2017,22417,20
HYPERION, 2001,1015,0
HYPERION, 2002,3881,0
HYPERION, 2003,6411,0
HYPERION, 2004,5929,0
HYPERION, 2005,4246,0
HYPERION, 2006,4398,0
HYPERION, 2007,4494,0
HYPERION, 2008,4674,0
HYPERION, 2009,6440,0
HYPERION, 2010,6788,0
HYPERION, 2011,6655,0
HYPERION, 2012,5636,0
HYPERION, 2013,5980,0
HYPERION, 2014,6095,0
HYPERION, 2015,6352,0
HYPERION, 2016,3158,0
