time,area
5/27/1984,232.9312846
6/28/1984,271.8597675
9/16/1984,229.3857086
10/2/1984,199.4624899
5/14/1985,241.5719286
6/15/1985,289.4691846
7/17/1985,228.665623
8/2/1985,190.9950524
8/18/1985,210.4455014
10/5/1985,139.5887808
5/1/1986,221.392172
5/17/1986,236.7412008
6/2/1986,230.351837
6/18/1986,268.8792762
7/4/1986,289.2960241
7/20/1986,292.2582617
8/5/1986,291.2738798
8/21/1986,279.6163027
9/6/1986,257.9508601
9/22/1986,227.7450618
10/8/1986,204.5940007
5/4/1987,140.9650721
6/5/1987,184.4598133
6/21/1987,176.7215761
7/7/1987,175.8830332
7/23/1987,171.4260128
8/8/1987,170.4872189
8/24/1987,166.0119572
9/25/1987,161.6642882
10/11/1987,163.532772
4/4/1988,120.5575356
5/22/1988,124.6043933
7/9/1988,120.9130096
8/26/1988,66.30780889
9/11/1988,63.92892203
10/29/1988,63.04482376
4/7/1989,193.4742039
5/25/1989,240.058913
6/10/1989,257.148772
7/28/1989,255.3805772
8/13/1989,249.6474641
8/29/1989,219.9156301
9/30/1989,210.0445415
10/16/1989,207.4286434
11/17/1989,210.8283676
4/26/1990,204.0744138
5/12/1990,196.600503
8/16/1990,144.0549113
9/1/1990,121.9520737
9/17/1990,124.330954
10/3/1990,120.8947749
4/13/1991,121.7606485
4/29/1991,119.3179565
5/15/1991,116.1916598
5/31/1991,119.3999843
6/16/1991,122.1799283
7/2/1991,117.4768208
7/18/1991,117.1486694
8/3/1991,119.7007567
9/20/1991,115.1890308
10/6/1991,115.0067388
10/22/1991,118.4337891
6/2/1992,124.9780633
6/18/1992,124.1121871
7/4/1992,122.5444775
7/20/1992,122.5809265
8/5/1992,115.7814831
8/21/1992,116.4741769
9/6/1992,114.8335654
9/22/1992,117.4220939
10/8/1992,117.3673945
11/9/1992,116.9572696
5/4/1993,211.0288845
7/7/1993,241.3440523
8/8/1993,222.7229259
8/24/1993,189.2085674
9/9/1993,157.6447574
9/25/1993,127.0744594
10/27/1993,130.4376994
4/5/1994,124.0119681
4/21/1994,124.4950364
6/8/1994,118.9807173
6/24/1994,122.0067414
7/10/1994,121.2775807
7/26/1994,125.8165872
